Keyword,Period,Year,Date,Hit_Cleaned,Hit
Volk,1946-1969,1946,1946-10-24,"Das deutsche Volk sei sich bei der verständlichen Entrüstung über den Freispruch der Verführer des großen Geschenkes noch gar nicht bewußt geworden, das ihm durch diesen Rechtsspruch, zugefallen sei.","Das deutsche Volk sei sich bei der verständlichen Entrüstung über den Freispruch der Verführer des großen Geschenkes noch gar nicht bewußt geworden, das ihm durch diesen Rechtsspruch, zugefallen sei."
Volk,1946-1969,1946,1946-03-14,"Wer an die Zukunft unseres Volkes glaubt, muß auch an dem guten und gesunden Sinn unseres Bauern glauben, der am besten weiß, was dem Hofe nützt","Wer an die Zukunft unseres Volkes glaubt, muß auch an dem guten und gesunden Sinn unseres Bauern glauben, der am besten weiß, was dem Hofe nützt"
Volk,1946-1969,1946,1946-06-27,"Die Völker Europas selbst leiden heute unter diesem Schwebezustände ebenso, wenn auch in anderem Sinne und auf einer anderen Ebene, wie wir Deutsche.","Die Völker Europas selbst leiden heute unter diesem Schwebezustände ebenso, wenn auch in anderem Sinne und auf einer anderen Ebene, wie wir Deutsche."
Volk,1946-1969,1946,1946-04-04,"Das Hamburger Völkerkundemuseum ist mit einer Ausstellung ""Arabische Völker"" wieder geöffnet worden, die die Arbeiten der sabäischminäischen Periode auf breitem Raum zeigt.","Das Hamburger Völkerkundemuseum ist mit einer Ausstellung ""Arabische Völker"" wieder geöffnet worden, die die Arbeiten der sabäischminäischen Periode auf breitem Raum zeigt."
Volk,1946-1969,1946,1946-07-25,"Sie müssen sich heute über das innere und äußere Schicksal ihres Volkes und aller Völker, über Staatskunst, Wirtschaft und Kultur ihre Gedanken mächen.","Sie müssen sich heute über das innere und äußere Schicksal ihres Volkes und aller Völker, über Staatskunst, Wirtschaft und Kultur ihre Gedanken mächen."
Volk,1946-1969,1946,1946-05-16,Die Völker waren verarmt wie seit Jahrhunderten nicht mehr.,Die Völker waren verarmt wie seit Jahrhunderten nicht mehr.
Volk,1946-1969,1946,1946-05-09,"Wahrhaftig, ein rätselhaftes Volk, das in seiner langen, dunklen Geschichte immer wieder Gefahren, Unduldsamkeit und Drangsal gleichmütig und pfiffig überdauerte, wenn es zuletzt auch schien, als sollte es bestialisch in den Gaskammern enden, weil die Zigeuner auf der Liste der ""Asozialen"" und nicht auf der Liste der Arier standen.","Wahrhaftig, ein rätselhaftes Volk, das in seiner langen, dunklen Geschichte immer wieder Gefahren, Unduldsamkeit und Drangsal gleichmütig und pfiffig überdauerte, wenn es zuletzt auch schien, als sollte es bestialisch in den Gaskammern enden, weil die Zigeuner auf der Liste der ""Asozialen"" und nicht auf der Liste der Arier standen."
Volk,1946-1969,1946,1946-07-18,"Ihren schärfsten Ausdruck aber finden die Gegensätzlichkeiten, die jetzt aus dem Dunkel der anonymen Gerüchte in die Arena der realen politischen Diskussion tauchen, in der Frage, wieweit sich der wirkliche Wille des Volkes in der Postenbesetzung der wichtigen Berliner Schlüsselpositionen ausdrückt.","Ihren schärfsten Ausdruck aber finden die Gegensätzlichkeiten, die jetzt aus dem Dunkel der anonymen Gerüchte in die Arena der realen politischen Diskussion tauchen, in der Frage, wieweit sich der wirkliche Wille des Volkes in der Postenbesetzung der wichtigen Berliner Schlüsselpositionen ausdrückt."
Volk,1946-1969,1947,1947-12-11,"So viel uns auch von mancher Seite im Ausland, auch aus den Reihen unserer ehemaligen Kriegsgegner, in manchen Punkten Verständnis und Wohlwollen entgegengebracht wird, so sind wir doch prinzipiell völlig schutzlos, Jeder im Ausland und im Inland jeder, der der inländischen Gerichtsbarkeit nicht unterworfen ist, ist grundsätzlich nicht gehindert, uns als ein ganzes Volks ohne Unterschied zwischen Schuldigen und Unschuldigen, nach Belieben zu beschuldige, m. beleidigen, zu beschimpfen.","So viel uns auch von mancher Seite im Ausland, auch aus den Reihen unserer ehemaligen Kriegsgegner, in manchen Punkten Verständnis und Wohlwollen entgegengebracht wird, so sind wir doch prinzipiell völlig schutzlos, Jeder im Ausland und im Inland jeder, der der inländischen Gerichtsbarkeit nicht unterworfen ist, ist grundsätzlich nicht gehindert, uns als ein ganzes Volks ohne Unterschied zwischen Schuldigen und Unschuldigen, nach Belieben zu beschuldige, m. beleidigen, zu beschimpfen."
Volk,1946-1969,1947,1947-07-31,Herrscht hier etwa das Volk?,Herrscht hier etwa das Volk?
Volk,1946-1969,1947,1947-11-13,"Präsident Truman übermittelte dem russischen Volk anläßlich der dreißigjährigen Wiederkehr des Revolutionstages die Glückwünsche des amerikanischen ""Volkes.","Präsident Truman übermittelte dem russischen Volk anläßlich der dreißigjährigen Wiederkehr des Revolutionstages die Glückwünsche des amerikanischen ""Volkes."
Volk,1946-1969,1947,1947-08-07,"Ohne daß es deswegen erforderlich wäre, für die eine oder für die andere Seite-Partei zu nehmen, müssen wir uns mit der Tatsache abfinden, daß die sowjetische Staatsführung sich gezwungen sieht, ihren ermüdeten und enttäuschten Völkern auf irgendeine Weise so schnell wie möglich etwas zu geben, ohne jedoch dadurch die Abwehrbereitschaft gegen die kapitalistische Aggression, die man befürchten zu müssen glaubt, zu beeinträchtigen.","Ohne daß es deswegen erforderlich wäre, für die eine oder für die andere Seite-Partei zu nehmen, müssen wir uns mit der Tatsache abfinden, daß die sowjetische Staatsführung sich gezwungen sieht, ihren ermüdeten und enttäuschten Völkern auf irgendeine Weise so schnell wie möglich etwas zu geben, ohne jedoch dadurch die Abwehrbereitschaft gegen die kapitalistische Aggression, die man befürchten zu müssen glaubt, zu beeinträchtigen."
Volk,1946-1969,1947,1947-12-11,"Demokratie, so sollte man meinen, heißt; Herrschaft des Volkes, durch das Volk und für das Volk.","Demokratie, so sollte man meinen, heißt; Herrschaft des Volkes, durch das Volk und für das Volk."
Volk,1946-1969,1947,1947-01-02,Gewiß gibt es so wenig eine Kollektivschuld der Generationen wie der Völker.,Gewiß gibt es so wenig eine Kollektivschuld der Generationen wie der Völker.
Volk,1946-1969,1947,1947-07-31,"Wir sagten, daß die Holländer das Malaiische als Schul- und Umgangssprache eingeführt 'hatten: die Jugend und die politischen Aktivisten fanden ihren Vorteil darin, aber ein Volk besteht nicht nur aus jungen und politisch interessierten-Leuten.","Wir sagten, daß die Holländer das Malaiische als Schul- und Umgangssprache eingeführt 'hatten: die Jugend und die politischen Aktivisten fanden ihren Vorteil darin, aber ein Volk besteht nicht nur aus jungen und politisch interessierten-Leuten."
Volk,1946-1969,1947,1947-10-02,"[...] So war das Irrtum, was sich unsere Kameraden ersehnten. und was sie aufrecht hielt? Nein! denn sie hätten, wenn sie noch lebten, nicht vergessen, daß alles Leid, das wir jetzt durchzustehen haben, in der von ihnen bekämpften Vergangenheit begründet Heißt doch die Firma, in der das deutsche Volk sich heute abplagt, ""Hitlers Erben"",Sie würden es im Gegenteil als ausgesprochenen Vertrat an ihrem Opfer empfinden, wenn sehen müßten, wie dieses Volk, für das-sie dieses Opfer brachten, in weiten Schichten bereits vergessen hat, was war, und tut und redet, als wäre das alles nicht gewesen. [...]","[...] So war das Irrtum, was sich unsere Kameraden ersehnten. und was sie aufrecht hielt? Nein! denn sie hätten, wenn sie noch lebten, nicht vergessen, daß alles Leid, das wir jetzt durchzustehen haben, in der von ihnen bekämpften Vergangenheit begründet Heißt doch die Firma, in der das deutsche Volk sich heute abplagt, ""Hitlers Erben"",Sie würden es im Gegenteil als ausgesprochenen Vertrat an ihrem Opfer empfinden, wenn sehen müßten, wie dieses Volk, für das-sie dieses Opfer brachten, in weiten Schichten bereits vergessen hat, was war, und tut und redet, als wäre das alles nicht gewesen. [...]"
Volk,1946-1969,1947,1947-03-20,"Die kräftig auftragende Regie führte Wolf Völker, die musikalische Leitung hatte der tüchtige junge Dirigent Georg C. Winkler.","Die kräftig auftragende Regie führte Wolf Völker, die musikalische Leitung hatte der tüchtige junge Dirigent Georg C. Winkler."
Volk,1946-1969,1947,1947-10-09,"Aber es bleibt zu hoffen, daß sie ihn wenigstens menschlich und sachlich achten werden und daß sie damit auch einem geschlagenen Volke den Spielraum zwischen Kollaboration und Nicht-Kollaboration zuerkennen, den wir haben müssen, wenn unsere geistige Freiheit und unsere sittliche Würde wiedergewonnen werden soll.","Aber es bleibt zu hoffen, daß sie ihn wenigstens menschlich und sachlich achten werden und daß sie damit auch einem geschlagenen Volke den Spielraum zwischen Kollaboration und Nicht-Kollaboration zuerkennen, den wir haben müssen, wenn unsere geistige Freiheit und unsere sittliche Würde wiedergewonnen werden soll."
Volk,1946-1969,1947,1947-01-16,In diesem dritten Bilde ist das Volk nicht Summe und ganz gewiß nicht Masse.,In diesem dritten Bilde ist das Volk nicht Summe und ganz gewiß nicht Masse.
Volk,1946-1969,1947,1947-08-28,"Vergil: ""Unsicher wie ein Kind ist das Volk, furchtsam und fluchtbereit, wenn es im Stiche gelassen wird, gefährlichem seiner Unsicherheit, Unzugänglich jeglichem Zuspruch, unzugänglich jeglicher Überlegung, fern aller Menschlichkeit, gewissenlos, unbeständig, sprunghaft, unerläßlich und grausam, und doch auch wieder freigebig und großherzig, aufopterungsfähig und mutig wenn es sich selber findet, erfüllt von der ganzen Sicherheit des Kindes, in dem die Ahnung des richtigen Weges aufgedämmert ist, und das nun wie schlafwandelnd seinem Ziele zustrebt.","Vergil: ""Unsicher wie ein Kind ist das Volk, furchtsam und fluchtbereit, wenn es im Stiche gelassen wird, gefährlichem seiner Unsicherheit, Unzugänglich jeglichem Zuspruch, unzugänglich jeglicher Überlegung, fern aller Menschlichkeit, gewissenlos, unbeständig, sprunghaft, unerläßlich und grausam, und doch auch wieder freigebig und großherzig, aufopterungsfähig und mutig wenn es sich selber findet, erfüllt von der ganzen Sicherheit des Kindes, in dem die Ahnung des richtigen Weges aufgedämmert ist, und das nun wie schlafwandelnd seinem Ziele zustrebt."
Volk,1946-1969,1947,1947-03-13,"Das deutsche Volk aber hätte sie verstanden, und die Besatzungmacht hätte wohl den Ernst der Forderung eingesehen und Abhilfe geschaffen.","Das deutsche Volk aber hätte sie verstanden, und die Besatzungmacht hätte wohl den Ernst der Forderung eingesehen und Abhilfe geschaffen."
Volk,1946-1969,1947,1947-06-26,"Diese Geschlossenheit wird durch die Lebensgestaltung des Volkes nach den Erkenntnissen meiner Frau bewirkt.""","Diese Geschlossenheit wird durch die Lebensgestaltung des Volkes nach den Erkenntnissen meiner Frau bewirkt."""
Volk,1946-1969,1947,1947-03-20,"Es gibt keinen Fußbodenbelag; der Boden ist mit Kuhdung bedeckt und dient zugleich als Schlafstelle, Einige Lehmtöpfe zum Kochen und eine Frau, die dem Warli angetraut sein kann oder auch nicht, vervollständigen den Durchschnittshaushalt dieses Volkes.","Es gibt keinen Fußbodenbelag; der Boden ist mit Kuhdung bedeckt und dient zugleich als Schlafstelle, Einige Lehmtöpfe zum Kochen und eine Frau, die dem Warli angetraut sein kann oder auch nicht, vervollständigen den Durchschnittshaushalt dieses Volkes."
Volk,1946-1969,1947,1947-01-02,"Als Stalin in seiner im Ausland kaum beachteten Rede vom 9. Februar die Nachkriegspolitik der UdSSR umriß, machte er dem russischen Volk mit brutaler Offenheit klar, daß erst nach dem Erfolg weiterer drei Fünfjahrespläne eine Erleichterung eintreten könne.","Als Stalin in seiner im Ausland kaum beachteten Rede vom 9. Februar die Nachkriegspolitik der UdSSR umriß, machte er dem russischen Volk mit brutaler Offenheit klar, daß erst nach dem Erfolg weiterer drei Fünfjahrespläne eine Erleichterung eintreten könne."
Volk,1946-1969,1947,1947-10-23,"Ist es doch der Versuch, in einem jugendlich-idealistischen Volk der alten, in Demokratien von jeher unliebsamen Tatsache zur Anerkennung zu verhelfen, daß es in erster Linie die außenpolitischen Not-Wertigkeiten sind, die das Handeln eines jeden Staates bestimmen müssen!","Ist es doch der Versuch, in einem jugendlich-idealistischen Volk der alten, in Demokratien von jeher unliebsamen Tatsache zur Anerkennung zu verhelfen, daß es in erster Linie die außenpolitischen Not-Wertigkeiten sind, die das Handeln eines jeden Staates bestimmen müssen!"
Volk,1946-1969,1947,1947-01-30,"Dies allerdings ist ein ""Erfolg"", wie ihn nur ein Massenterror erreichen konnte, an dem nicht etwa bloß eine bestimmte Kaste, sondern - mit verschwindenden Ausnahmen - ein ganzes Volk beteiligt war.","Dies allerdings ist ein ""Erfolg"", wie ihn nur ein Massenterror erreichen konnte, an dem nicht etwa bloß eine bestimmte Kaste, sondern - mit verschwindenden Ausnahmen - ein ganzes Volk beteiligt war."
Volk,1946-1969,1947,1947-05-08,"Dieser Ausgang der drei verschiedenen Wahlgänge hat den vollen Beifall des Oberbefehlshabers der Alliierten Mächte in Japan gefunden, inwieweit der Wunsch. des autoritätsgläubigen Volkes aber, diesen Beifall zu erringen, das Ergebnis der Wahl beeinflußt haben mag, sei dahingestellt.","Dieser Ausgang der drei verschiedenen Wahlgänge hat den vollen Beifall des Oberbefehlshabers der Alliierten Mächte in Japan gefunden, inwieweit der Wunsch. des autoritätsgläubigen Volkes aber, diesen Beifall zu erringen, das Ergebnis der Wahl beeinflußt haben mag, sei dahingestellt."
Volk,1946-1969,1947,1947-12-04,Die Abschaffung der Zölle sowie mehrere andere in dem Abkommen getroffene Vereinbarungen stellten den Beginn eines Zusammenschlusses der beiden Völker dar.,Die Abschaffung der Zölle sowie mehrere andere in dem Abkommen getroffene Vereinbarungen stellten den Beginn eines Zusammenschlusses der beiden Völker dar.
Volk,1946-1969,1947,1947-02-20,"Haben wir uns nicht immer das ""Volk der Dichter und Denker"" genannt?","Haben wir uns nicht immer das ""Volk der Dichter und Denker"" genannt?"
Volk,1946-1969,1947,1947-11-13,"Der Hagen muß ja dabeigewesen sein, sonst wäre das deutsche Volk kein Siegfried, und ein Siegfried soll es nun einmal sein, nach Wunsch und Willen der Wirklichkeitsflüchtlinge.","Der Hagen muß ja dabeigewesen sein, sonst wäre das deutsche Volk kein Siegfried, und ein Siegfried soll es nun einmal sein, nach Wunsch und Willen der Wirklichkeitsflüchtlinge."
Volk,1946-1969,1947,1947-11-20,"""Wir sind in Gefahr"", sagte der Präsident, ""für immer die Möglichkeit zu verlieren, eine Weltordnung zu erlangen, in der freie Völker in dauerndem Frieden leben können, wenn der Kongreß ""nicht die notwendige Überbrückungshilfe für Europa schnell bewilligt.","""Wir sind in Gefahr"", sagte der Präsident, ""für immer die Möglichkeit zu verlieren, eine Weltordnung zu erlangen, in der freie Völker in dauerndem Frieden leben können, wenn der Kongreß ""nicht die notwendige Überbrückungshilfe für Europa schnell bewilligt."
Volk,1946-1969,1948,1948-09-09,"Feind und Partner - niemand kann beides: zu gleicher Zeit sein, weder von Mensch zu Mensch, noch von Volk zu Volk.","Feind und Partner - niemand kann beides: zu gleicher Zeit sein, weder von Mensch zu Mensch, noch von Volk zu Volk."
Volk,1946-1969,1948,1948-09-30,"Denn damit wäre gerade das Gegenteil von dem erreicht worden, was Außenminister Marshall als eine der wichtigsten Prinzipien der amerikanischen Außenpolitik unterstrich: die USA würden niemals in grundsätzlichen Fragen Kompromisse schließen und niemals zulassen, daß mit den Rechten und Freiheiten anderer Völker Kuhhandel getrieben werde.","Denn damit wäre gerade das Gegenteil von dem erreicht worden, was Außenminister Marshall als eine der wichtigsten Prinzipien der amerikanischen Außenpolitik unterstrich: die USA würden niemals in grundsätzlichen Fragen Kompromisse schließen und niemals zulassen, daß mit den Rechten und Freiheiten anderer Völker Kuhhandel getrieben werde."
Volk,1946-1969,1948,1948-06-03,"Nur dauerte diese ""Beteiligung des Volkes an der Ausarbeitung der Verfassung"" in der Sowjetunion seinerzeit (1936) volle fünf Monate.","Nur dauerte diese ""Beteiligung des Volkes an der Ausarbeitung der Verfassung"" in der Sowjetunion seinerzeit (1936) volle fünf Monate."
Volk,1946-1969,1948,1948-10-21,"Wenn das gequälte Volk trotzdem noch jahrelang auf den Frieden warten mußte, so hatte das mehrere Gründe.","Wenn das gequälte Volk trotzdem noch jahrelang auf den Frieden warten mußte, so hatte das mehrere Gründe."
Volk,1946-1969,1948,1948-07-01,"Im Zusammenhang mit dem eigentümlichen Schicksal des Volkes, das seit zwei Jahrtausenden in der ganzen Welt zerstreut lebt und in seinen kulturellen Bestrebungen überall Berührungspunkte mit anderen Völkern findet, hat sich die jüdische Musik zu einem Erscheinungskomplex herausgebildet, der mannigfaltigste Elemente, Ausdrucksformen und Inhalte umfaßt.","Im Zusammenhang mit dem eigentümlichen Schicksal des Volkes, das seit zwei Jahrtausenden in der ganzen Welt zerstreut lebt und in seinen kulturellen Bestrebungen überall Berührungspunkte mit anderen Völkern findet, hat sich die jüdische Musik zu einem Erscheinungskomplex herausgebildet, der mannigfaltigste Elemente, Ausdrucksformen und Inhalte umfaßt."
Volk,1946-1969,1948,1948-08-05,"Es wird viel von einem Lastenausgleich gesprochen, doch noch mehr darüber geschwiegen, die einen denken an ihn Tag und Nacht, die anderen suchen ihn aus ihren Gedanken zu verdrängen, er verkörpert Hoffnung und Furcht zugleich und manche fühlen sich verleitet zu glauben, daß durch ihn die bestehende Spaltung des deutschen Volkes in zwei feindliche Lager nicht ausgeglichen, sondern verschärft werden könnte.","Es wird viel von einem Lastenausgleich gesprochen, doch noch mehr darüber geschwiegen, die einen denken an ihn Tag und Nacht, die anderen suchen ihn aus ihren Gedanken zu verdrängen, er verkörpert Hoffnung und Furcht zugleich und manche fühlen sich verleitet zu glauben, daß durch ihn die bestehende Spaltung des deutschen Volkes in zwei feindliche Lager nicht ausgeglichen, sondern verschärft werden könnte."
Volk,1946-1969,1948,1948-04-08,"Der Kuchen mit Marken und Schaum für das Volk, der Kaffee mit aufsteigendem Duft und Bohnen für die Kämpfer, nein, die Spieler, nein, für die Männer eben, nur die Männer.","Der Kuchen mit Marken und Schaum für das Volk, der Kaffee mit aufsteigendem Duft und Bohnen für die Kämpfer, nein, die Spieler, nein, für die Männer eben, nur die Männer."
Volk,1946-1969,1948,1948-04-15,"Eben weil das deutsche Volk im Krieg unmenschliche Opfer gebracht hat, durch ihn um seine elementarsten Ansprüche an das Leben gebracht worden ist, nunmehr aber sich die Voraussetzung für eine Fortexistenz auf einer neuen ideologischen Grundlage zu schaffen hat, bringt es für die Forderung nach?","Eben weil das deutsche Volk im Krieg unmenschliche Opfer gebracht hat, durch ihn um seine elementarsten Ansprüche an das Leben gebracht worden ist, nunmehr aber sich die Voraussetzung für eine Fortexistenz auf einer neuen ideologischen Grundlage zu schaffen hat, bringt es für die Forderung nach?"
Volk,1946-1969,1948,1948-07-08,Auch vom Osten her wird die Schicksalsfrage von Leben und Tod an die europäischen Völker gestellt:,Auch vom Osten her wird die Schicksalsfrage von Leben und Tod an die europäischen Völker gestellt:
Volk,1946-1969,1948,1948-01-29,"""Recht ist, was dem Volke nützt, Unrecht ist, was ihm schadet"", Verfehlt diesem Grundsatz,von seinen sonstigen Konsequenzen abgesehen, zunächst ganz einfach die Eignung zur Rechtsidee.","""Recht ist, was dem Volke nützt, Unrecht ist, was ihm schadet"", Verfehlt diesem Grundsatz,von seinen sonstigen Konsequenzen abgesehen, zunächst ganz einfach die Eignung zur Rechtsidee."
Volk,1946-1969,1948,1948-03-18,"Der 18. Januar 1871 war ein großer Tag für das deutsche Volk, aber kein Tag des deutschen Volkes.","Der 18. Januar 1871 war ein großer Tag für das deutsche Volk, aber kein Tag des deutschen Volkes."
Volk,1946-1969,1948,1948-04-08,"Frans Tireur meinte, die europäischen Völker sollten lieber auf den Marshall-Plan verzichten, als Spanien zulassen:","Frans Tireur meinte, die europäischen Völker sollten lieber auf den Marshall-Plan verzichten, als Spanien zulassen:"
Volk,1946-1969,1948,1948-03-18,"Matseilajseblasen zweifellos dem, deutschen Volk kgendwie genützt"" hat, ob es gleich die Mauern von NS Jericho nicht zum Einsturz brachte.","Matseilajseblasen zweifellos dem, deutschen Volk kgendwie genützt"" hat, ob es gleich die Mauern von NS Jericho nicht zum Einsturz brachte."
Volk,1946-1969,1948,1948-01-29,"Nicht nur werden dies die wirtschaftlichen und strategischen Interessen Amerikas' und Europas nicht zulassen, auch die wachsende Teilnahme, mit der die islamischen Völker Asiens den Prestigekampf der Araber verfolgen, deutet auf eine Ausbreitung des Konflikts hin.","Nicht nur werden dies die wirtschaftlichen und strategischen Interessen Amerikas' und Europas nicht zulassen, auch die wachsende Teilnahme, mit der die islamischen Völker Asiens den Prestigekampf der Araber verfolgen, deutet auf eine Ausbreitung des Konflikts hin."
Volk,1946-1969,1948,1948-01-22,"Im Jahre 1948 sollte man andere Wege gehen unddas deutsche Volk wirklich einmal befragen, ob es das Parteienmonopol bejaht oder ablehnt.","Im Jahre 1948 sollte man andere Wege gehen unddas deutsche Volk wirklich einmal befragen, ob es das Parteienmonopol bejaht oder ablehnt."
Volk,1946-1969,1949,1949-11-10,"Früher waren es vornehmlich die Schluchten und Untiefen der menschlichen Seele, die mit goldenen Dichterworten ausgefüllt wurden, und das Volk ging hin und kaufte die Werke und beweinte sie.","Früher waren es vornehmlich die Schluchten und Untiefen der menschlichen Seele, die mit goldenen Dichterworten ausgefüllt wurden, und das Volk ging hin und kaufte die Werke und beweinte sie."
Volk,1946-1969,1949,1949-09-15,"Alfred Döblin: ""November 1918, Verratenes Volk"".","Alfred Döblin: ""November 1918, Verratenes Volk""."
Volk,1946-1969,1949,1949-06-23,"Es kam nämlich schließlich dabei heraus, daß ein Großteil der Beamten nicht aus Berufsinteresse, sondern nur und lediglich der gesicherten Pension halber ihren Platz ausfüllte, und es kam auf der anderen Seite heraus, daß weite Teile unseres Volkes gerade in dieser Sicherheit den Krebsschaden des Beamtentums erblicken, weil hier eben in den meisten Fällen nicht die Leistung entscheidet, sondern,, wie es ein Einsender drastisch schrieb, die Anzahl der durchgescheuerten Hosenböden.","Es kam nämlich schließlich dabei heraus, daß ein Großteil der Beamten nicht aus Berufsinteresse, sondern nur und lediglich der gesicherten Pension halber ihren Platz ausfüllte, und es kam auf der anderen Seite heraus, daß weite Teile unseres Volkes gerade in dieser Sicherheit den Krebsschaden des Beamtentums erblicken, weil hier eben in den meisten Fällen nicht die Leistung entscheidet, sondern,, wie es ein Einsender drastisch schrieb, die Anzahl der durchgescheuerten Hosenböden."
Volk,1946-1969,1949,1949-12-01,"Von den 24 Millionen Bürgern der Rzeczpospolita Polska hat Stalin nicht mehr als maximal drei Millionen wirklich erobert, die restlichen 21 Millionen, rund 88 v. H. des polnischen Volks, sind gegen seine Ideologie immun, weil sie eine andersgeartete, der seinigen diametral entgegengesetzte Bindung aufrechterhalten, die zur katholischen Kirche.","Von den 24 Millionen Bürgern der Rzeczpospolita Polska hat Stalin nicht mehr als maximal drei Millionen wirklich erobert, die restlichen 21 Millionen, rund 88 v. H. des polnischen Volks, sind gegen seine Ideologie immun, weil sie eine andersgeartete, der seinigen diametral entgegengesetzte Bindung aufrechterhalten, die zur katholischen Kirche."
